file,delta_band_gap (eV),delta_h_corr (Hartree),delta_scf (Hartree),d_calc_pka (pKa),phenol_5_6_7,carbox_acid,benzoic_acid,thiol_thiophenol,aliphatic_alcohol,sec_amine_neg,heteorcyle_phen,alinine,primary_amine,tert_amine,sec_amine_sec_amine_ring,ring,aromatic,charge,hybridization,CBH_1,CBH_2,CBH_3,CBH_4,CBH_5,CBH_6,CBH_7,CBH_8,CBH_9,CBH_10,CBH_11,CBH_12,CBH_13,CBH_14,CBH_15,CBH_16,CBH_17,CBH_18,CBH_19,CBH_20,CBH_21,CBH_22,CBH_23,CBH_24,CBH_25,CBH_26,CBH_27,CBH_28,CBH_29,CBH_30,CBH_31,CBH_32,CBH_33,CBH_34,CBH_35,CBH_36,CBH_37,CBH_38,CBH_39,CBH_40,CBH_41,CBH_42,CBH_43,CBH_44,CBH_45,CBH_46,CBH_47,CBH_48,CBH_49,CBH_50,CBH_51,CBH_52,CBH_53,CBH_54,CBH_55,CBH_56,CBH_57,CBH_58,CBH_59,CBH_60,CBH_61,CBH_62,CBH_63,CBH_64,CBH_65,CBH_66,CBH_67,CBH_68,CBH_69,CBH_70,CBH_71,CBH_72,CBH_73,CBH_74,CBH_75,CBH_76,CBH_77,CBH_78,CBH_79,CBH_80,CBH_81,bond_length (angstrom),delta_e_extent (au),delta_tpsa,conjugate_acid,conjugate_base,predicted_rf (pKa),exp_pKa (pKa)
27,0.01985,0.012855,-0.45731786,7.42,0,0,0,0,0,1,0,0,0,0,0,1,1,-1,3,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,1.02,19.67,1.69,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[nH]c12,Cn1cnc([N+](=O)[O-])c1Sc1ncnc2nc[n-]c12,7.67,7.905
28,0.01903,0.012647,-0.44821382,2.39,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,7.28,-2.07,O=C1NC(=O)C(Br)(Br)C(=O)N1,O=C1[N-]C(=O)C(Br)(Br)C(=O)N1,4.37,5.68
29,0.02758,0.012681,-0.44701388,1.56,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,-3.52,-2.07,O=C1NC(=O)C(Cl)(Cl)C(=O)N1,O=C1[N-]C(=O)C(Cl)(Cl)C(=O)N1,3.96,5.55
30,0.02383,0.012731,-0.45971578,7.63,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,4.94,-2.07,CC1(C)C(=O)NC(=O)NC1=O,CC1(C)C(=O)[N-]C(=O)NC1=O,7.68,8.505
31,0.02341,0.012826,-0.45952937,7.57,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,6.7,-2.07,CCC1(C)C(=O)NC(=O)NC1=O,CCC1(C)C(=O)[N-]C(=O)NC1=O,7.69,8.28
32,0.02286,0.012771,-0.45976317,7.5,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,1.02,14.68,-2.07,CC(C)C1(C)C(=O)NC(=O)NC1=O,CC(C)C1(C)C(=O)[N-]C(=O)NC1=O,7.68,8.45
33,0.02329,0.012753,-0.45938957,7.42,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,7.14,-2.07,CCC1(CC)C(=O)NC(=O)NC1=O,CCC1(CC)C(=O)[N-]C(=O)NC1=O,7.68,7.9798
34,0.02154,0.012786,-0.46075913,8.3,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,1.02,7.97,-2.07,CCC1(C(C)C)C(=O)NC(=O)NC1=O,CCC1(C(C)C)C(=O)[N-]C(=O)NC1=O,8.00,8.14
35,0.02166,0.012806,-0.4597297,7.66,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,1.02,8.02,-2.07,CCC[C@@H](C)C1(CC)C(=O)NC(=O)NC1=O,CCC[C@@H](C)C1(CC)C(=O)[N-]C(=O)NC1=O,7.73,8.13
36,0.02319,0.012843,-0.45940658,7.41,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1667,0,0,0,0,1.02,5.36,-2.07,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,CCC1(CCC(C)C)C(=O)[N-]C(=O)NC1=O,7.71,7.95
37,0.02025,0.012862,-0.46072167,8.18,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,1.02,24.98,-2.07,CCC1([C@H](C)CC(C)C)C(=O)NC(=O)NC1=O,CCC1([C@H](C)CC(C)C)C(=O)[N-]C(=O)NC1=O,8.02,8.14
38,-0.00872,0.012918,-0.45881367,7.05,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,9.19,-2.07,C=CCC1(CC)C(=O)NC(=O)NC1=O,C=CCC1(CC)C(=O)[N-]C(=O)NC1=O,7.42,7.89
39,-0.0084,0.012943,-0.45938665,7.11,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,1.02,5.34,-2.07,C=CCC1(C(C)C)C(=O)NC(=O)NC1=O,C=CCC1(C(C)C)C(=O)[N-]C(=O)NC1=O,7.47,8.01
40,-0.01295,0.012952,-0.4584513,6.8,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,3.14,-2.07,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,C=CCC1(CC=C)C(=O)[N-]C(=O)NC1=O,7.30,7.81
41,-0.01322,0.0127,-0.4596454,7.9,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,-2.31,-2.07,CC(C)=CCC1(C)C(=O)NC(=O)NC1=O,CC(C)=CCC1(C)C(=O)[N-]C(=O)NC1=O,7.54,8.39
42,-0.01498,0.01276,-0.4597955,7.72,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,6.75,-2.07,CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,CCC1(CC=C(C)C)C(=O)[N-]C(=O)NC1=O,7.46,8.06
43,-0.01621,0.012712,-0.45992073,8.15,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.25,0,0,0,0,1.02,-2.99,-2.07,CC(C)=CCC1(C(C)C)C(=O)NC(=O)NC1=O,CC(C)=CCC1(C(C)C)C(=O)[N-]C(=O)NC1=O,7.67,8.19
44,-0.01436,0.012856,-0.4601441,8.02,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,-22.28,-2.07,CC(C)=CCC1(C(C)(C)C)C(=O)NC(=O)NC1=O,CC(C)=CCC1(C(C)(C)C)C(=O)[N-]C(=O)NC1=O,7.56,8.39
45,-0.01659,0.012751,-0.45920083,7.32,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.1667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,-13.91,-2.07,CC(C)=CCC1(CC=C(C)C)C(=O)NC(=O)NC1=O,CC(C)=CCC1(CC=C(C)C)C(=O)[N-]C(=O)NC1=O,7.15,8.13
46,-0.00971,0.012816,-0.45789903,6.85,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1667,0,0,0,0,1.02,5.56,-2.07,C=C(CC(C)C)C1(C)C(=O)NC(=O)NC1=O,C=C(CC(C)C)C1(C)C(=O)[N-]C(=O)NC1=O,7.47,7.78
47,-0.00704,0.012924,-0.45760417,6.27,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0.1667,0,0,0,0,1.02,9.32,-2.07,C=C(CC(C)C)C1(CC)C(=O)NC(=O)NC1=O,C=C(CC(C)C)C1(CC)C(=O)[N-]C(=O)NC1=O,7.44,7.48
48,-0.01075,0.012667,-0.45756948,7.14,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,27.92,-2.07,CC1(c2ccccc2)C(=O)NC(=O)NC1=O,CC1(c2ccccc2)C(=O)[N-]C(=O)NC1=O,7.17,7.78
50,0.01594,0.012833,-0.4559565,5.09,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0.1429,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,25.43,-2.07,CCC1(c2cccc([N+](=O)[O-])c2)C(=O)NC(=O)NC1=O,CCC1(c2cccc([N+](=O)[O-])c2)C(=O)[N-]C(=O)NC1=O,6.39,7.015
51,0.01632,0.012903,-0.45573968,5.67,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,19.24,-2.07,CCC1(c2ccc([N+](=O)[O-])cc2)C(=O)NC(=O)NC1=O,CCC1(c2ccc([N+](=O)[O-])cc2)C(=O)[N-]C(=O)NC1=O,6.86,6.94
52,-0.00969,0.01266,-0.4559552,6.5,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,3,0.2,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,13.94,-2.07,O=C1NC(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,O=C1[N-]C(=O)C(c2ccccc2)(c2ccccc2)C(=O)N1,6.51,7.3
53,0.0295,0.012692,-0.4597591,7.75,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,4,0,0,0,0.5,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,4.31,-2.07,O=C1NC(=O)C2(CC2)C(=O)N1,O=C1[N-]C(=O)C2(CC2)C(=O)N1,7.77,8.73
54,0.02359,0.012838,-0.46008044,7.97,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,4,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,13.35,-2.07,O=C1NC(=O)C2(CCC2)C(=O)N1,O=C1[N-]C(=O)C2(CCC2)C(=O)N1,7.92,8.82
55,0.02233,0.012714,-0.4600531,8,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,4,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,8.61,-2.07,O=C1NC(=O)C2(CCCC2)C(=O)N1,O=C1[N-]C(=O)C2(CCCC2)C(=O)N1,7.90,8.83
56,0.02052,0.012864,-0.46042874,7.96,0,0,0,0,0,1,0,0,0,0,0,1,0,-1,4,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,1.02,20.81,-2.07,O=C1NC(=O)C2(CCCCC2)C(=O)N1,O=C1[N-]C(=O)C2(CCCCC2)C(=O)N1,7.99,8.88
